1216
a big cheese	(slang) เป็นสำนวนแปลว่า คนที่สำคัญมาก
rig	(n) รถม้า เช่น I have had that exact same happen and that is why I attach my picket rope to my horse trailer attached to my rig.
ripper	(n. slang.) เยี่ยม, เจ๋ง, สนุกที่สุด (ภาษาพูด)
road-rage	(n) ความเดือดดาลบนถนน(ของผู้คนใช้ถนน) เช่น The attempt to control traffic and cool tempers has been unsuccessful, judging by the number of recent road-rage attacks.
roadmap	(n) แผน แผนกลยุทธ์ เช่น This section describes the general development roadmap., Related: S. plan, strategic plan, 
role model	(n) ผู้ซึ่งมีลักษณะควรค่าแก่การเป็นแบบอย่างให้กับผู้อื่น
rose apple	(n) ชมพู่
roseapple	(n) ชมพู่ เช่น The Roseapple is best eaten fresh. When it is ripe it gives a delicate rose fragrance, which can also be tasted. The flesh is crisp and firm and discolours on exposure to air.
Royal Ploughing Day	(n) วันพืชมงคล
rrts	(n) หน่วยยุทธการโต้ตอบฉับพลัน, Related: S. Rapid Response Tactical Squad , 
RSS	(abbrev) ย่อมาจาก Really Simple Syndication หรือ Rich Site Summary หรือ RDF Site Summary เป็นรูปแบบในการสรุปย่อ รายละเอียดหรือหัวข้อที่น่าสนใจ บางส่วนหรือทั้งหมด ของเว็บไซต์หรือส่วนของเว็บไซต์ เพื่อให้ผู้ที่เยี่ยมชมเว็บไซต์สามารถทราบเนื้อหาที่น่าสนใจโดยไม่จำเป็นต้องเข้ามาในเว็บไซต์
RSVP	กรุณาตอบกลับมา (เป็นคำย่อที่นำมาจากภาษาฝรั่งเศสที่ว่า repondez s'il vous plait ซึ่งถูกนำมาใช้มากในภาษาอังกฤษ) เช่น Please RSVP in the comments of this entry., You must RSVP after the start of registration and prior to 2:30 PM.
ruined castle	(n) ปราสาท (เก่าแก่) ที่ถูกทำลาย 
rule of law	(n) หลักนิติธรรม
rules of engagement	(n) กฎการปะทะ ย่อด้วย ROE เช่น And because active combat could be expected at any time, Marines also had "rules of engagement" which they were to follow.
runner-up	รองอันดับหนึ่ง
RWY	(abbrev) อักษรย่อของ runway ทางวิ่งของเครื่องบิน โดยทั่วไปแล้วจะมีตัวเลข 2 หลักแสดงต่อทางด้านหลังเพื่อแสดงทิศที่มุ่งไป, Related: R.TWY 
sacred basil	(n) กะเพรา, Related: S. holy basil, 
safety pin	[เซฟตี้ พิน] (n) เข็มกลัดซ่อนปลาย
Saint Nick	(n) ซานตาคลอส เช่น Given the decision making power of Santa Claus on the matter of gifts, my children make sure they leave Mr. Claus some seriously good cookies on Christmas Eve. However, most children don't know that there is much more to the real Saint Nick than toys and cookies.
salaryman	(n) มนุษย์เงินเดือน, คำเรียกชาวญี่ปุ่นที่ทำงานในบริษัท (รับเงินเดือน)
salvation army	(n) หน่วยบรรเทาทุกข์, หน่วยกู้ภัย
santol	(n) กระท้อน (ผลไม้)
SARS	(n) โรคทางเดินหายใจเฉียบพลันรุนแรง หรือ ซาร์ส มาจากภาษาอังกฤษเต็มๆ คือ Severe Acute Respiratory Syndrome เริ่มระบาดในช่วงต้นปี 2546 ในหลายประเทศ
save	(vt) บันทึก เก็บรักษา เช่น save data บันทึกข้อมูล
scalable	(adj) ขยายหรือย่อได้, เพิ่มหรือลดความสามารถได้
scale	(vt) ปีน ไต่ (เขา)
school	(n) โรงเรียน
screening	(n) การกลั่นกรอง, การคัดเลือก
SD	(abbrev uniq) ย่อมาจาก Secure Digital อุปกรณ์เก็บข้อมูลประเภท flash memory ชนิดหนึ่งลักษณะคล้าย MMC (Multimedia Card) แต่หนากว่าเล็กน้อย นิยมใช้กับ PDA กล้อง Digital MP3 Player, Related: flash memory, MMC, CF, SM, MS, digital film 
sea bass	(n) ปลาตระกูลกระพง
security	(n adj) ความปลอดภัย,สิ่งที่ทำให้ปลอดภัย, ความมั่นคง,การค้ำประกัน,หลักทรัพย์,ธนบัตร,คนรับรอง, สวัสดิการ, เกี่ยวกับการประกัน, Related: S. certificate, protection, 
sevenish	ราวๆหนึ่งทุ่ม เช่น I'll call for you at sevenish. ฉันจะแวะไปรับเธอช่วงหนึ่งทุ่ม (การเติม -ish ตามหลังตัวเลขบอกเวลา หมายความว่า โดยประมาณ, ราวๆเวลานั้น), Related: S. about 7 o'clock, 
severance pay	(n) เงินชดเชยเมื่อถูกให้ออกจากงาน เช่น Is there a law that requires employers to provide severance pay?, Related: S. compensation for loss of job: money paid as compensation, on the basis of length 
shangri-la	(n) สวนสวรรค์, Related: S. Eden, Arcady, 
shantytown	(n) เขตชุมชนที่มีแต่กระท่อม, กระต๊อบ,หรือเพิง  , Related: S.shanty townR.slum 
shape	(n) สภาพ, สุขภาพ เช่น In the middle of a very difficult period of my life, when I was in really, really bad shape, somebody very nice showed up.
share capital	(n) ทุนเรือนหุ้น
She retired at age 65.	(phrase) เธอเกษียณอายุตัวเอง (หยุดทำงานที่ทำอยู่ประจำ) เมื่ออายุ 65 ปี
sheep	(n) แกะ
shell-shock	(n) อาการผวาระเบิด เช่น Some doctors argued that the only cure for shell-shock was a complete rest away from the fighting. If you were an officer you were likely to be sent back home to recuperate. 
shemale	(n) ชายที่ทำศัลยกรรมเป็นผู้หญิง(กะเทย) แต่ยังคงอวัยวะเพศชายไว้อยู่
shiftless	(adj) ไม่เอาไหน เช่น He knew Michael for over twenty years and found him to worthless, shiftless and to spend his wages on liquor rather than his family.
shopaholic	(n) คนที่ชอบซื้อของมากจนหยุดไม่ได้
shoreline	(n) แนวชายฝั่ง
showboat	(vt slang) ชอบอวด, ขี้อวด เช่น He wasn't showboating; he was trying to retain possession of the ball when facing the wrong way and heading into the United half of the pitch., Related: S. show-off, 
shredder	(n) เครื่องทำลายเอกสาร
shrink	(n slang) จิตแพทย์, Related: S. psychiatrist 
sidebar	(n) ข่าวหรือข้อมูลสั้นๆที่แทรกอยู่ข้างๆของข่าวหรือข้อความหลักทั้งในสิ่งพิมพ์บนเว็บและในหนังสือ โดยมากมักจะมีความเกี่ยวข้องกับข้อความหลัก
sidewall	(n) ผนังยาง (ล้อรถยนต์), แก้มยางรถ (ล้อรถยนต์) ผนังด้านข้าง (สิ่งก่อสร้าง), Related: S.side-walls 
Silent Wave Motor	(n) มอเตอร์ที่หมุนโดยอาศัยหลักคลื่นเสียงความถี่สูง Ultra-Sound ซึ่งสามารถออกแบบให้มีขนาดเล็ก พัฒนาโดยบริษัท Nikon เพื่อให้หมุนปรับโฟกัสในเลนส์รุ่นที่มีอักษร AF-S, Related: SWF, USM 
silver wedding	(n) การแต่งงานที่ผ่านไป 25 ปี
siphon	(n) การยักย้ายหรือตักตวงผลประโยชน์จากรัฐหรือจากบริษัทมาเป็นของตัวเอง(ในทางธุรกิจ-การเงิน) มักใช้ทับศัพท์ว่า ไซฟ่อน
skype	(vt) สนทนาด้วยเสียงโดยใช้คอมพิวเตอร์ผ่านเครือข่ายอินเทอร์เน็ต เป็นกริยาที่ผันมาจากชื่อโปรแกรม Skype ที่ใช้ในการสนทนา ดังปรากฏใน USA Today (17 ธันวาคม 2004) ว่า "To 'Skype' is to call someone over your computer."
slag off	(vt slang) ด่าว่า, พูดในทางไม่ดี, [to slag someone off]
SLR	(n abbrev) ย่อมาจาก Single-Lens Reflex หมายถึง กล้องถ่ายภาพที่ใช้เลนส์ตัวเดียวกันสำหรับมองภาพ และถ่ายภาพ ทำให้ได้ภาพในฟิล์มเหมือนดั่งภาพที่ปรากฏในช่องมอง กล้องประเภทนี้มักจะเปลี่ยนเลนส์ได้ด้วย, Related: camera 
smashed	(adj slang) เมามาก, เมาหัวราน้ำ เช่น I was so smashed last night. I don't know how I got home., Related: S. very drunk , 
smitten	(adj slang) หลงรัก เช่น Maybe you can't read because you're so smitten by the cute girl sitting in front of you that you can't concentrate., Related: S. in love, 
snail mail	(n jargon) จดหมายที่ถูกส่งทางไปรษณีย์ปกติ (เพื่อไม่ให้สับสนกับ E-mail ถ้าใช้คำว่า mail เฉยๆ ในยุคนี้อาจไม่ชัดเจนว่าเป็นอันไหน) snail แปลตามตัวคือหอยทาก ซึ่งเคลื่อนไหวอย่างช้าๆ เป็นการบ่งชี้กลายๆ ว่า ไม่เร็วเหมือน E-mail
so-so	(adj adv) ธรรมดา, งั้นๆ, เรื่อยๆ, Related: S.soso 
SONA	(n) ย่อมาจาก State of Nation Addressสุนทรพจน์ที่ผู้นำกล่าวสรุปสถานการณ์ของประเทศ
sophomoric	ที่พยายามทำให้ดูว่าตัวเองสำคัญ, ซึ่งโอ้อวด, Related: S. pretentious, bombastic, inflated in style or manner; immature, crude, superficial 
sorbet	(n) ของหวานที่ทำจากน้ำผลไม้ปั่นที่แช่จนเป็นน้ำแข็ง
source	(n) แหล่งข่าว, สาย เช่น You have a source inside the company. 
space	(n) (คณิต.) ปริภูมิ
spatially	(adv) โดยตำแหน่ง, ซึ่งสามารถบอกตำแหน่งพิกัดทางภูมิศาสตร์ได้
specifications	(n) ข้อมูลจำเพาะ (มักปรากฏท้ายคู่มือผลิตภัณฑ์ต่างๆ เช่น เครื่องใช้ไฟฟ้า)
spectrograph	(n) กล้องโทรทัศน์/กล้องดูดาว ที่มีความสามารถในการบันทึกภาพจากสิ่งที่ส่องอยู่ เช่น The solar-stellar spectrograph is located 5 meters south of the main solar spectrograph on the ground floor of the McMath Telescope complex., Related: R. Spectoscope, telescope 
spiritualist	(n) คนทรง
spirulina	(n) สาหร่ายเกลียวทอง
spongy bone	กระดูกที่มีลักษณะพรุน
spooky	(adj colloq) น่ากลัว เช่น spooky movie, Related: S. creepy, 
sportmanship	(n) น้ำใจนักกีฬา เช่น If your team won a Sportmanship award, and were not there to receive it, they will be mailed to you from the State Office.
sports coat	(n) สูทลำลอง เช่น Most sport coats are run-of-the-mill with strips or no pattern at all. I'm looking for something a bit more interesting but stylish., Related: S.sportcoat, sport coat 
spring onion	(n) ต้นหอม, Related: S. green onion 
spring roll	(n) เปาะเปี๊ยะ
squaw	(n) ผู้หญิงอินเดียนแดง, Related: S. an American Indian woman, 
squirt gun	(n) ปืนฉีดน้ำ, Related: S.water pistol, water gun 
stand	(vt) ทน เช่น I hate the English lesson. I can't stand the sight of the teacher., Related: bear 
staple	(n) ลวดเย็บกระดาษ
star fruit	(n) มะเฟือง (เนื่องจากภาพตัดขวางเป็นรูปดาว), Related: carambola 
stat	(abbrev) 1) สถิติ ย่อมาจาก statistics2) อย่างเฉียบพลัน, ทันทีทันใด ย่อมาจากภาษาพูดที่ว่า sooner than already there 
state of the union	(n) การแถลงนโยบายประจำปีต่อรัฐสภาของประธานาธิบดีสหรัฐ
Stay tuned!	(vi) เป็นภาษาพูด แปลว่า ติดตามต่อไป (ส่วนใหญ่ใช้ตามวิทยุหรือทีวี) เช่น Stay tuned for more details! Stay tuned to the brand new watch! 
stem cell	(n) เซลล์ต้นกำเนิด เช่น Georgia women would be encouraged to donate post-natal tissue and fluids for non-embryonic stem cell research. 
Steve Irwin	(name) ชื่อชาวออสเตรเลีย (1962 - 2006) เป็นผู้ชำนาญด้านสัตว์ป่าและมีผลงานรายการโทรทัศน์, มีสมญานามว่า นักล่าจระเข้, ชอบแสดงแบบเสี่ยงอันตรายกับสัตว์
stewardship	(n) การให้บริการหรือดูแล เช่น There are a variety of volunteer stewardship opportunities at Chicago Park District Nature Areas. 
stick them up!	(phrase) ยกมือ (ทั้งสองข้าง) ขึ้น เช่น ในภาพยนตร์ เวลาที่โจรจะเข้ามาจี้ หรือตำรวจจะมาจับ และสั่งให้คนนั้นๆ ยกมือขึ้น 
stiffener	(n) แผ่นเสริมแรง, แผ่นเสริมกำลัง, ชิ้นส่วนช่วยยึด, Related: R. stiffened, stiff 
stochastic	(adj) อย่างเฟ้นสุ่ม, โดยการสุ่ม, Related: S. random, 
stonefly	(n name) สโตนฟลาย เป็นแมลงใน อันดับ พลีคอปเทอร่า (Order Plecoptera: Class Insecta) ลักษณะตัวเต็มวัย (adult) แบ่งออกเป็น ส่วนหัว ส่วนอก และส่วนท้อง ชัดเจน; ส่วนหัว (head) มีหนวด (antennae) ยาว 1 คู่ มีตารวม (compound eyes) 1 คู่ มีตาเดี่ยว (ocelli) 0-3 ตา มีปากแบบกัดกิน (Chewing mouthpart), ส่วนอก (thorax) มีขา 3 คู่ มีปีก 2 คู่เป็นแผ่นบางใส (membranous wings) ปีกคู่หลัง (hind wings) จะซ้อนพับอยู่ใต้ปีกคู่หน้า (fore wings), ส่วนท้อง (abdomen) ยาวแบ่งเป็นปล้อง; มีการเจริญเติบโตแบบไม่สมบูรณ์ (Incomplete metamorphosis) คือเจริญเติบโตจากไข่ ฟักออกมาเป็นตัวอ่อน ลอกคราบหลายครั้งจนเป็นตัวเต็มวัย โดยไม่มีระยะดักแด้; ในระยะตัวอ่อน (nymph) มีลักษณะคล้ายตัวเต็มวัยแต่ไม่มีปีก อาจพบเหงือก (gills) รูปร่างต่าง ๆ ตามลำตัวเป็นอวัยวะช่วยในการหายใจ อาศัยอยู่ในแหล่งน้ำไหล (Lotic habitat, running water) บางชนิดมีนิสัยการกินแบบผู้ล่า (predator) กินสัตว์อื่นที่มีขนาดเล็กกว่าเป็นอาหาร แต่บางชนิดกินเศษซากตะกอนในแหล่งน้ำเป็นอาหาร (detritivore) และเมื่อลอกคราบครั้งสุดท้ายเป็นตัวเต็มวัยจะอาศัยอยู่บนบกใกล้แหล่งน้ำ สโตนฟลายบางชนิดที่มีวงจรชีวิตระยะตัวอ่อนเป็นเวลายาวนาน เมื่อลอกคราบเป็นตัวเต็มวัยแล้วจะจับคู่ผสมพันธุ์ทันทีโดยไม่กินอาหาร แต่ในบางชนิดที่มีวงจรชีวิตใช้เวลาในระยะตัวอ่อนน้อย เมื่อลอกคราบเป็นตัวเต็มวัยแล้วจะกินน้ำหรือเศษซากพืชหรือซากตะกอนเพียงเล็กน้อย เพื่อพัฒนาระบบสืบพันธุ์ให้เจริญเต็มที่ ก่อนจับคู่ผสมพันธุ์ เมื่อผสมพันธุ์แล้วตัวเต็มวัยเพศเมียจะวางไข่ลงในแหล่งน้ำไหลเพื่อให้ไข่ฟักออกมาเป็นตัวอ่อนอาศัยเจริญเติบโตในแหล่งน้ำไหลนั้นต่อไป; จากลักษณะการดำรงชีวิตโดยอาศัยพึ่งพาแหล่งน้ำอยู่เกือบตลอดทั้งวงจรของชีวิต แมลงชนิดนี้จึงจัดอยู่ในกลุ่มของแมลงน้ำ (Aquatic insect), Related: R. plecoptera 
straight away	|British| ทันทีทันใด, เดี๋ยวนี้ เช่น We should be taking precautions straight away., Related: S. right away (American), 
string quintet	(n) วงดนตรีเครื่องสายที่ประกอบไปด้วยเครื่องดนตรี 5 ชนิด ส่วนใหญ่ประกอบด้วย ไวโอลิน 2 เครื่อง วิโอลา 2 เครื่อง และเชลโล่ 1 เครื่อง (ซึ่งเท่ากับวง string quartet และ วิโอลา 1 เครื่อง)
student loan	(n) เงินกู้ยืมเพื่อการศึกษา(โดยทั่วไป ในระดับอุดมศึกษา) เช่น Did you apply for a student loan?
stuff one's face	(v phrase) กินจนพุงกาง เช่น He won't lose any weight if he keeps stuffing his face like that., Related: S.feed one's face 
subcortical lacunar	(n phrase) ช่องระหว่างหยักสมอง
subculture	(n) วัฒนธรรมย่อย
subjective	(adj) แล้วแต่ความชอบของแต่ละคน, แล้วแต่บุคคล เช่น Hall voting will always be subjective., Such players, in my subjective view, are above the steroid fray. , Related: A. objective 
substrate	(n) สารตั้งต้น(ทางเคมี), Related: starting material 
subterranean	[ซับทึ' เรเนียน] (adj) ที่อยู่ใต้พื้นดิน, ใต้พื้นโลก เช่น Subterranean termites are the most destructive pests of wood in the United States.; The scientific journal is devoted to the study of cave biology and subterranean ecosystems. , Related: S. underground, A. earth surface, 
suburb	(n) ชานเมือง
sufficiency economy	เศรษฐกิจพอเพียง
supply	(n) อุปทาน
supply chain	(jargon) โซ่อุปทาน, สายโซ่อาหาร
surface tension	(n) แรงตึงผิว
surfactant	(n) สารลดความตึงผิว
surveillance camera	(n) กล้องวงจรปิดเพื่อรักษาการความปลอดภัย
sustainable	(adj) ยั่งยืน, ถาวร เช่น sustainable agriculture
SUV	(abbrev) ย่อจาก sport utility vehicle รถอเนกประสงค์ ที่มีพื้นที่สำหรับบรรทุกของและบรรทุกผู้โดยสารได้ด้วย เช่น Facts and personal opinions to help you decide which sport utility vehicle is the best auto for your needs., Related: R.minivan 
swamp	(vi slang) ท่วมท้นด้วยงาน (เป็นภาษาพูดในอเมริกา) เช่น Some offices will be swamped next week. อาทิตย์หน้าบางสำนักงานจะมีงานท่วมหัว
swan plant	[สวอน แพลนท์] (n) หงส์เหิร เป็น พืชตระกูลเดียวกับดอกรัก ผลพองกลมเป็นสีเขียวมีขนสั้นๆ ปัจจุบันนิยมนำมาจัดดอกไม้
sweatshop	(n) โรงงานนรก เช่น The Panorama team uncovered sweatshop working conditions and child labour at the Joule Textiles factory. 
sweet basil	(n) โหระพา, Related: S. basil, 
swift code	(n) รหัสของแต่ละธนาคารซึ่งได้รับมาตรฐานจากสถาบัน the International Organization for Standardization มีชื่อเรียกอีกว่า Bank Identifier Code คำว่า swift ย่อมาจาก Society for Worldwide Interbank Financial Telecommunication, Related: S.ISO9362, BIC code 
SWM	(n abbrev) , Related: Silent Wave Motor 
symphony orchestra	(n) วงดนตรีคลาสสิคขนาดใหญ่ที่มักจะประกอบด้วยนักดนตรีอาชีพมากกว่า 80 คน จนถึงขนาด 100 กว่าคน ซึ่งสามารถบรรเลงเพลงคลาสสิคขนาดใหญ่ที่ต้องใช้เครื่องดนตรีครบทุกชนิดได้, Related: S. philharmonic orchestra, R. chamber orchestra 
syncope	[ซินโคพี] (n) โรควูบ, โรคหมดสติชั่ววูบ เช่น The records of 121 patients hospitalized in Presbyterian-University Hospital, Pittsburgh, during 1976 to 1980 for syncope of unknown origin were reviewed.
syrupy	[(ซี-ระพิ)] (adj) มีลักษณะคล้ายน้ำเชื่อม (ใส ข้นและเหนียว) เช่น How come liquid dish detergents look so syrupy?
Table of Contents	(n) สารบัญ
Tablet PC	(name) เครื่องคอมพิวเตอร์ส่วนบุคคล ชนิดที่มีระบบรับข้อมูลการขีดเขียนด้วยปากกาบนจอภาพ
tai chi move	(n) รำไทเก็ก เช่น In every Tai Chi move every connection is maintained, but sometimes one connection is emphasized over the others, though they are all still happening simultaneously., , Related: S.Tai Chi 
taillight	(n) ไฟท้ายรถ เช่น I'm building an improved taillight for my motorcycle. Instead of an incandescent bulb and reflector, I'm using 80 high-brightness red LEDs.
Taj Mahal	(n) ทัชมาฮาล อนุสรณ์สถานแห่งความรักของจักรพรรดิ์อินเดียที่ชื่อ  Mughal Emperor Shāh Jahān ทัชมาฮาลถูกสร้างเพื่อรำลึกถึงภรรยาที่รักของพระองค์
take a leak	(vt slang) ไปฉี่ เช่น Have you ever taken a leak onto a electric fence?; A Croatian motorbiker's penis was zapped by lightning as he stopped beside the road to take a leak., Related: S. urinate, 
take a nap	งีบ, ม่อยหลับ
take a shot at	(phrase) ลองทำ, ตัวอย่างเช่น Can I take a shot at explaining? ขอฉันลองอธิบายได้มั้ย, I took a shot at Lottery. ฉันลองซื้อลอตเตอร์รี่ดู
take after	(vt.) เหมือน เช่น He takes after his mother. เขาหน้าเหมือนแม่ 
take in	(vi.) หลงเชื่อ เช่น At first he was completely taken in, but then he realized it was a hoax. ตอนแรกเขาเชื้อสนิทเลย แต่ต่อมาก็ค่อยรู้ว่ามันเป็นเรื่องไม่จริง
take out	(vt.) สมัครเป็นสมาชิก เช่น If this magazine is really good, I might take out a subscription.
take part	(vi) |in sth.| เข้าร่วม มีส่วนร่วม, Related: S. participate, 
take up an hobby	(phrase) ทำอะไรเป็นงานอดิเรก เช่น I'm not very fit nowadays so I decided to take up an active hobby such as badminton.
tang	(n) โคนเรียวแหลมของมีดหรือสิ่ว ที่ฝังเข้าไปในด้าม
tax credit	(n) เงินลดหย่อนภาษี เช่น A tax credit can provide significant savings. It reduces the amount of income tax you have to pay.
teasing	(adj) ที่ล้อเลียน, อย่างยั่วยวน, เย้าแหย่, สัพยอก
telegraphic transfer	(n) การโอนเงินโดยทางโทรเลข เช่น When you wish to make a payment from your account whether by Telegraphic Transfer or by Currency Draft you will need to visit an Abbey branch., Related: S.wire transfer 
tell the truth	พูดความจริง, กล่าวถึงสิ่งที่เกิดขึ้นจริงๆ เช่น I wasn't sure if Bobby was telling the truth.
terabyte	(n) ใช้ตัวย่อว่า TB เป็นหน่วยวัดความจุข้อมูล 1 TB เท่ากับหนึ่งล้านล้านไบต์
ternary	(adj) ซึ่งประกอบด้วยสามส่วน, Related: S. treble, triple, triplex, 
tertiary	(adj) ตติยภูมิ, ลำดับสาม
test	(n) การทดสอบ, การสอบ
test tube	(n) หลอดทดลอง, หลอดแก้วใส่สารเคมี
The Holy See	(n) นครรัฐวาติกัน (Vatican City State)
the john	(n slang) ห้องน้ำ, Related: S. toilet, restroom,  WC 
The Metropolitan Electricity Authority; MEA	(abbrev) กฟน., Related: S. การไฟฟ้านครหลวง, 
The People’s Republic of China	สาธารณรัฐประชาชนจีน
theme park	(n) สวนสนุก
theses	(n) |พหูพจน์ของ thesis| วิทยานิพนธ์, ข้อสรุป, ข้อวินิจฉัย เช่น Finding model theses or dissertations can help you gauge how much (or how little) you have to do. A good model can also serve as an inspiration for you.
thin-skinned	(adj) ขี้ใจน้อย, (อารมณ์)ที่อ่อนไหวง่าย, ฉุนง่าย เช่น I am quite stunned at what I think is a super thin-skinned response. , Related: S.touchy, huffy 
third party	(n) บุคคลที่สาม, Related: S. third person, 
thong	(n) กางเกงชั้นในประเภทหนึ่ง คล้ายแบบ tanga, Related: tanga 
thug	(n slang) นักเลง, อันธพาล, วายร้าย, ผู้ร้าย, ฆาตกร, อาชญากร
ticklish	(adj) จั๊กจี้, บ้าจี้ เช่น The people in the study also reported that they were much more , Related: R.tickle 
tide me over	(phrase slang) (เงิน) เพียงพอสำหรับค่าใช้จ่ายต่างๆ เช่น I need 2,000 Yen to tide me over until tuesday.
tie-dyed silk	(n) ไหมมัดหมี่ เช่น The tie-dyed silk fabrics worn by the Khatri Muslims are completely different from the Hindus.
Time is up.	หมดเวลาแล้ว
timely	(adj) ถูกเวลา, ถูกกาลเทศะ, Related: S. opportune 
tip	(n) เคล็ดลับ
TNC	(n) บริษัทข้ามชาติ ย่อมาจาก Transnational corporation 
to be on the top of the world	เป็นสำนวนแปลได้สองแบบ คือ มีความสุขอย่างล้นหลาม มีความสุขที่สุด หรือประสบความสำเร็จอย่างสูง
to be stuck up	(phrase) หยิ่ง, นึกว่าตัวเองเก่งหรือดีกว่าชาวบ้าง, จองหอง
to hang out	(v. slang) ออกไปข้างนอก สังสรรค์ คุยกัน เช่น กับเพื่อนๆ
to make a mountain out of a molehill	สร้างเรื่องเล็กให้เป็นเรื่องใหญ่
to see a man about a horse	(phrase slang) เป็นการขอโทษเมื่อต้องการจะออกไปข้างนอก มักพูดเมื่อจะขอตัวไปห้องน้ำ หรือออกไปซื้อเครื่องดื่ม เช่น Can we stop, Simon? I have to see a man about a horse., Related: S.to see a man about a dog 
to stick	ติด
to twiddle one's thumbs	เสียเวลาจริงๆ เช่น I was twiddling my thumbs., Related: S. to waste one's time, 
to wire so. money	(vt) โอนเงิน(ทางธนาคาร)
tonfa	(n) พลองมือ เป็นอาวุธตระกูลโอกินาวะ มีส่วนยื่นออกมาใช้จับได้, Related: S. tong fa, tuifa 
tow away	(vt) ลากออกไป เช่น the police tows the car away.
traceability	(n) การสืบมาตรฐาน, ความสามารถในการสืบสาว
tracking	(n.) การสะกดรอย, การติดตามแกะรอย
trade school	(n) โรงเรียนช่าง เช่น Find a Trade School near you & turn your passion into a profession!
training	[เทรนนิ่ง] (n) การฝึกอบรม
tranche	(n) งวด, การจ่ายสิ่งใดสิ่งหนึ่งเป็นส่วนๆ (โดยเฉพาะงวดการจ่ายเงิน)
transgender	(n) คนข้ามเพศ, คนที่แสดงออก หรือแต่งกาย หรือผ่านการผ่าตัดเพื่อเปลี่ยนเป็นเพศตรงข้าม, คนที่มีลักษณะผิดเพศ, Related: R.queer, heterosexual, homosexual, bisexual, pansexual, asexual 
transgenic	(adj jargon) ที่ถูกตัดต่อพันธุกรรม โดยเฉพาะการตัดต่อสารพันธุกรรมจากสิ่งมีชีวิตต่างสปีชีส์ เช่น ยีนเรืองแสงของแมงกระพรุนมาใส่ในหนูให้หนูเรืองแสง เป็นต้น
transmogrify	(vt) เปลี่ยนรูป, แปรรูป, แปลงรูป, Related: S. transform, 
transsexual operation	(n) การผ่าตัดแปลงเพศ
transvestite	(n) คนที่แต่งตัว-, ประพฤติตัว-, มีบทบาททางเพศ-เหมือนคนเพศตรงข้าม; กระเทย, Related: cross-dresser 
travel light	(vt) พกของมาน้อย, ไม่เป็นภาระ, ไม่คิดมาก, Related: S. take little baggage, be relatively free of responsibilities or deep thoughts, , 
treasurer	(n) เหรัญญิก
tributyltin	(n name) สารประกอบเคมีชนิดหนึ่งที่ใช้ผสมในสีทาใต้ท้องเรือกันเพรียงเรือและสาหร่ายต่างๆมาเกาะ แต่สารนี้เป็นอันตรายต่อสุขภาพและสิ่งแวดล้อม
trike	(n) รถสามล้อ, มอเตอร์ไซค์ 3 ล้อ เช่น Trike Tours Scotland provide chauffeur driven tours of Scotland. Our trike tours give you one of the hippest ways to see the famously breathtaking scenery., Related: S. tricycle, 
triskaidekaphobia	(n) โรคกลัวหมายเลย 13 เช่น There’s a horse named Triskaidekaphobia, fear of the number 13. I now officially suffer from this disease. 
truant patrol	(n) สารวัตรนักเรียน เช่น Truant patrol will try to identify pupil protesters., Truancy patrol has been carried out in Wrexham for the past 10 years. Mr Hatton said when they spot people who should be in school they go and introduce themselves before filling in a form for their databases and taking them back to school or their parents., Related: S. truant officer, truancy patrol 
trying	(adj) ที่ยากลำบาก เช่น Those are real friends! That must have been very helpful to you during trying times.
tsunami	(n) คลื่นขนาดใหญ่และยาว (ระดับน้ำขึ้นสูง เป็นระยะทางยาวๆ ไม่ใช่ขึ้นแล้วลงเร็ว เหมือนคลื่นปกติ) ในทะเล ที่ไม่ได้เกิดขึ้นโดยปกติ แต่เกิดจากการแทนที่น้ำอย่างรุนแรง ทำให้มวลของน้ำเคลื่อนไหวด้วยความเร็วสูง ลักษณะคล้ายๆ กับการปาหินลงในน้ำ แล้วเกิดคลื่นแผ่กระจายออก, มีสาเหตุโดยมากจากแผ่นดินไหวนอกชายฝั่ง, มักเคลื่อนไปได้เป็นระยะทางไกลๆ (มากได้ถึงหลายพัน หรือเป็นหมื่นกิโลเมตร), เมื่อถึงฝั่ง อาจมีความสูงได้เป็นสิบเมตร และทำความเสียหายได้มาก, มาจากภาษาญี่ปุ่น  津波 [つなみ, tsunami, สึนามิ]<p>รายละเอียดเพิ่มเติม: <A HREF=http://www.navy.mi.th/dockyard/sara_tsinami.html>http://www.navy.mi.th/dockyard/sara_tsinami.html</A>, Related: S. tidal wave 
tube top	(n) เสื้อเกาะอก เช่น This seamless tube top is made with a delicately soft microfibre that gently caresses your body like a second skin.
tuck away	(vt slang) ซ่อนอยู่, เก็บอยู่ เช่น I guess he's got quite a bit of money tucked away somewhere.
tummy rumble, tummy rumbling	(n) เสียงท้องร้อง
turn in	(vi slang) เข้านอน
two-timer	(n) 1. คนที่นอกใจแฟนแอบไปมีความสัมพันธ์กับคนอื่น, 2. คนที่พูดอย่างทำอย่าง, Related: S.betrayer 
UAE	(abbrev) ย่อจาก United Arab Emirates: สหรัฐอาหรับเอมิเรตส์
Ubuntu	(n) ระบบปฏิบัติการคอมพิวเตอร์ระบบหนึ่งที่พัฒนาบนพื้นฐานของระบบ Linux
